Group,Outcome,80-70,90-70,90-80,
all,condLE,2.7023085843510684,2.9976394269173756,-27.952501914479903,
all,condQALE,1.8307855468434253,1.9138027626290817,2.615709257345305,
all,condHLY,1.6644174881032339,1.939867859995723,4.111370417959765,
Male,condLE,2.345079649046031,2.277708798470894,2.938422997247359,
Male,condQALE,1.7320666903669777,1.650112965558453,1.6304531983722947,
Male,condHLY,1.5010803404653643,1.5782418824552797,0.2631557168922777,
Female,condLE,-6.636553837851542,6.548812198434596,1425.4848049994503,
Female,condQALE,2.2173257449087758,2.6576733096355643,3.521547828622899,
Female,condHLY,2.188710909987517,2.8712241670084397,5.816611017943999,
1970s,condLE,-0.28327855761292414,-0.28327855761292414,0.0,
1970s,condQALE,-0.2826675022435941,-0.2826675022435941,0.0,
1970s,condHLY,-0.34766174484581697,-0.34766174484581697,0.0,
1980s,condLE,-0.22617751073054163,0.0,-0.22617751073054163,
1980s,condQALE,-0.22680741809267824,0.0,-0.22680741809267824,
1980s,condHLY,-0.3056510544833355,0.0,-0.3056510544833355,
1990s,condLE,0.0,-0.19026637946352118,-0.19026637946352118,
1990s,condQALE,0.0,-0.1918419480943375,-0.1918419480943375,
1990s,condHLY,0.0,-0.2771724598409924,-0.2771724598409924,
Age0-4,condLE,3.8682488246161775,-394.4079887178107,237.75807247626187,
Age0-4,condQALE,5.249984882738486,3.8932433019261192,2.5964152649129706,
Age0-4,condHLY,1.1386663457326949,45.409500829643065,-1.2739741027647455,
Age5-9,condLE,2.622737427767745,38.285403585510394,-3.4751964318430084,
Age5-9,condQALE,2.836783314577667,3.883094150531598,1.0272755464117003,
Age5-9,condHLY,7.670628538313,6.66188740072865,-4.133725627791924,
Age10-14,condLE,9.134497168602284,23.11111481252827,2.3231773040971766,
Age10-14,condQALE,-26.464124200278665,5.98566329438411,3.1718736519403437,
Age10-14,condHLY,-0.8475835989203666,3.7897766723291286,4.671287083045212,
Age15-20,condLE,5.776224060184188,19.4337652811143,1.2070718409703638,
Age15-20,condQALE,0.9221416801236707,6.851448172636276,-3.175308621596116,
Age15-20,condHLY,6.927774438928783,5.0109680532835235,11.104829711149758,
brain,condLE,0.12612781991199715,6.326592257869468,43.84132417905015,
brain,condQALE,-0.1874138074121827,4.022369073185245,17.261110089277604,
brain,condHLY,2.2367205879304635,6.920050556997079,-3.9469982416610137,
bone,condLE,16.601808303037057,-2.236333661394126,-0.900150669131933,
bone,condQALE,2.5010460287791476,0.4711665547396256,-1.9588245160132616,
bone,condHLY,1.3746280072622534,-0.7713515255824474,-1.2627875455136754,
sts,condLE,-1.425315353275495,-0.18835127447152025,-0.32940039070183563,
sts,condQALE,-3.5556666950259896,-0.2017158997429599,-0.2149167148837043,
sts,condHLY,4.007553128551648,-0.5079025833191855,0.7431745227956783,
solid,condLE,4.0770201237008,-1.9358031775359776,8.696598324904762,
solid,condQALE,-2.4987307306458453,-0.7257575153520808,-5.205582798090303,
solid,condHLY,-3.8619932771135,-1.427795199344017,-1.139367594099819,
leuk,condLE,8.069291573980582,-3.4868937038701,0.21764972178664957,
leuk,condQALE,4.560502292209632,3.8251640526751083,5.528794394896928,
leuk,condHLY,-111.27255445903974,17.931776689648334,0.9382437996487585,
lymp,condLE,4.3475558583092,7.747146589152202,-42.18398522001634,
lymp,condQALE,4.249627357717278,4.750427930472518,6.827257660650382,
lymp,condHLY,4.580692032147415,5.093222728877087,-2.396457560837305,
ALL,condLE,5.237170595601662,5.3104483233092,18.206767359330694,
ALL,condQALE,3.781863102434228,4.019780280073704,7.151773003947142,
ALL,condHLY,28.158401744548012,8.5033157595033,-1.1921362292111983,
AML,condLE,-0.8692213231966985,0.7473929981692741,1.2296323446099924,
AML,condQALE,-20.062167100038963,1.2012927056557787,0.8735357614007312,
AML,condHLY,3.0255787188788004,2.3082251634343485,-1.0862218166197508,
OtherLeukemia,condLE,-2.3289917041492987,-31.57769081034331,-3.4611842750895203,
OtherLeukemia,condQALE,-4.686691806303614,-5.109796873930604,-9.567930519158763,
OtherLeukemia,condHLY,0.047136416933169126,14.181275718000004,-1.1544701611038424,
Astrocytoma,condLE,5.789061335346443,18.225070794698254,-0.0829055931547918,
Astrocytoma,condQALE,2.2308160741503467,5.139538961109848,-91.77472443605281,
Astrocytoma,condHLY,0.9397112449871826,8.962131017120052,14.405597786198774,
Medulloblastoma,condLE,-3.1929659525660417,-3.6395671855151472,18.206228184282736,
Medulloblastoma,condQALE,2.2473229144558156,2.044469466008968,-0.46866439111705654,
Medulloblastoma,condHLY,-0.35463621567764053,-6.579680853712904,8.57999995880753,
Other CNS,condLE,-0.09473756765088558,0.48190310838526784,-0.17916210737776253,
Other CNS,condQALE,-1.578413485298191,0.6548018386658986,0.06156282002616688,
Other CNS,condHLY,-2.1372376133715747,-0.30054968719834413,0.342910901480376,
HL,condLE,16.93109404752342,20.26016501064863,3.8085714917387925,
HL,condQALE,26.44584326244233,-0.8828363093934037,15.365418330091819,
