Iteration,Score,Group,surv_0,surv_1,surv_2,surv_3,surv_4,surv_5,surv_6,surv_7,surv_8,surv_9,surv_10,surv_11,surv_12,surv_13,surv_14,surv_15,surv_16,surv_17,surv_18,surv_19,surv_20,surv_21,surv_22,surv_23,surv_24,surv_25,surv_26,surv_27,surv_28,surv_29,surv_30,surv_31,surv_32,surv_33,surv_34,surv_35,surv_36,surv_37,surv_38,surv_39,surv_40,surv_41,surv_42,surv_43,surv_44,surv_45,surv_46,surv_47,surv_48,surv_49,surv_50,surv_51,surv_52,surv_53,surv_54,surv_55,surv_56,surv_57,surv_58,surv_59,surv_60,surv_61,surv_62,surv_63,surv_64,surv_65,surv_66,surv_67,surv_68,surv_69,surv_70,surv_71,surv_72,surv_73,surv_74,surv_75,surv_76,surv_77,surv_78,surv_79,surv_80,surv_81,surv_82,surv_83,surv_84,surv_85,surv_86,surv_87,surv_88,surv_89,surv_90,surv_91,surv_92,surv_93,surv_94,surv_95,surv_96,surv_97,surv_98,surv_99,
1,-1.0,all,0.0,0.0,0.0,0.0,0.0,-0.030847633624273625,-0.12280853040323608,-0.29418882841491,-0.5221781194104069,-0.7900706169507072,-1.0795533445126022,-1.380883353943342,-1.6970741479008715,-2.0076767194683076,-2.323962457992447,-2.643933063364681,-2.956320549746428,-3.288394539473445,-3.6182065083369737,-3.9608622896081913,-4.317379702423186,-4.698976676473092,-5.076083355778295,-5.450576149237013,-5.838677982903176,-6.228631941959317,-6.583220541710912,-6.916385934811858,-7.238236086064293,-7.550262407475905,-7.860401088061398,-8.171555172256921,-8.482993389900347,-8.799770495550714,-9.123204056983107,-9.451160365004112,-9.790288241894855,-10.14126003698379,-10.50375814281313,-10.884561920388132,-11.30626721156236,-11.741947315519484,-12.190949631317388,-12.658539235473855,-13.147841374501256,-13.722273863066446,-14.31423732969024,-14.913446897241,-15.533512125425053,-16.20575275121241,-16.946001522262026,-17.691810971232734,-18.47733429919342,-19.279935327332563,-20.105130732888615,-20.963754480120894,-21.843654507589047,-22.74663827202312,-23.681246912703706,-24.660738058101217,-25.6401182200455,-26.637966258039736,-27.638332297919654,-28.63773827132795,-29.636017561852995,-30.6297080019029,-31.605365984107358,-32.56334262674191,-33.49135311993519,-34.37819906162928,-35.1496701515515,-35.799705440134865,-36.30024686446684,-36.64612947254822,-36.81333492774369,-36.802757671556556,-36.59159215154654,-36.181289240214504,-35.57955167523051,-34.778150418127886,-33.58091242294426,-32.012730631750166,-30.11714040560654,-27.967813892387117,-25.630463830914177,-22.181000763484565,-19.134976332620298,-16.442141130097053,-14.085053926679183,-12.025083386602923,-10.23741552385466,-8.691036913883714,-7.357108385385653,-6.215498337488453,-5.239873643240142,-4.412645462672617,-3.710774986848067,-3.1158025214198464,-2.615713470053082,-2.1928478490281584,
1,-1.0,Male,0.0,0.0,0.0,0.0,0.0,-0.03199602696062982,-0.12888689300151937,-0.32594953074541844,-0.5959974847779331,-0.9165251149432779,-1.2689735616772668,-1.6248748411347278,-2.010858122152984,-2.3835437467387504,-2.7510478769090523,-3.118799214101048,-3.4725786575076807,-3.8509035544000403,-4.215988008372679,-4.584870267335827,-4.97213461332959,-5.390578193828443,-5.802782827291292,-6.207859404230105,-6.634633777275297,-7.069672078276045,-7.453713864736967,-7.809696374739923,-8.147484490827832,-8.472076674874916,-8.792182417796687,-9.109741615591322,-9.425951111176264,-9.74624079074794,-10.06977527953289,-10.396682227501733,-10.732232644122005,-11.077559632730432,-11.432466785312636,-11.805114574479939,-12.216193334255976,-12.64040033202658,-13.075217880191154,-13.52731854562135,-13.998502600113705,-14.563153884439835,-15.136884222380733,-15.720198245234265,-16.32217270730109,-16.972434193827876,-17.688977849296602,-18.405854977483397,-19.162668275668644,-19.930640539343052,-20.71747249958212,-21.53149410673597,-22.367335058470843,-23.21081348079935,-24.084835363682807,-24.99843683624061,-25.912914646505453,-26.841659801566895,-27.77141290372309,-28.691260181374354,-29.615672997443422,-30.533019149601426,-31.4291826102489,-32.31001682495538,-33.16183683027589,-33.98048562631922,-34.67238831352584,-35.23333568649508,-35.64416212257029,-35.89432069437549,-35.955202626295495,-35.84334350898791,-35.52203936002418,-35.006967254327286,-34.31085496665711,-33.44029541474296,-32.2281279365597,-30.7217485505721,-28.94135639200018,-26.969016645400536,-24.846476333151085,-21.76346398686857,-19.034385378707732,-16.59322501496612,-14.428576033107664,-12.514900678359405,-10.830871891476264,-9.347765921568165,-8.045667475174746,-6.917491424977523,-5.93409029699605,-5.084102766062408,-4.350412188754148,-3.7193379670374345,-3.1745622342940703,-2.7042065180128176,
1,-1.0,Female,0.0,0.0,0.0,0.0,0.0,-0.029424238213368852,-0.11527460177948999,-0.2548224924105782,-0.43068146702415316,-0.6333344652932961,-0.8447732745603631,-1.0784640066952438,-1.308149330225694,-1.5418020188890624,-1.794604261545954,-2.0553522362667085,-2.31643576623194,-2.5911832921725155,-2.8772761868774124,-3.187425119833652,-3.5058327298481853,-3.841759558603377,-4.175363489069077,-4.511948698361526,-4.852117203491714,-5.186190617619731,-5.504272970364178,-5.809157304649825,-6.111252877668378,-6.407704229560918,-6.705489067311585,-7.008704225866395,-7.314228602919257,-7.6266519898199,-7.949960455149377,-8.279217410113201,-8.622779430228094,-8.980747775527277,-9.352654615867651,-9.743567470274717,-10.178443994289879,-10.628344632429952,-11.094928496739778,-11.581716126176014,-12.093475029418919,-12.680030995878095,-13.294593820119198,-13.913505387550591,-14.55599351967867,-15.255476558817698,-16.02510703356159,-16.806777133519383,-17.62788559014265,-18.473407822075185,-19.3461534443405,-20.260060063298166,-21.194569852266564,-22.17130851251553,-23.18101242785487,-24.2421716350363,-25.30199610696802,-26.385494873969925,-27.473383305633995,-28.571399640887584,-29.661233973950388,-30.74955062402165,-31.823739426280333,-32.87733154701152,-33.89977762021014,-34.87115165962375,-35.74124514284285,-36.50170194488892,-37.11344211840388,-37.57797149117318,-37.87696142326245,-37.991919671124286,-37.917267324825346,-37.63682235131045,-37.15205912161992,-36.436377274708036,-35.25764387800616,-33.61286005755213,-31.574485651515346,-29.205789917471403,-26.602190304054492,-22.698523734839902,-19.25965548012559,-16.254877671164294,-13.65926968155189,-11.417971116626042,-9.501846060418288,-7.877043113898623,-6.503662255469743,-5.345401213465532,-4.379415150632447,-3.5803964291765547,-2.917965912634365,-2.367740375457473,-1.9230389819478013,-1.559035757203599,
1,-1.0,1970s,0.0,0.0,0.0,0.0,0.0,-0.025879012984971694,-0.12498914616771477,-0.3479531798269627,-0.6517733626666535,-1.0903859280310364,-1.5295474001478735,-1.96458438541757,-2.4272213607559947,-2.895809965741532,-3.3639225422135026,-3.8183335662295135,-4.247252123296734,-4.728842426198839,-5.189164065936616,-5.666955933914901,-6.163846214442848,-6.693618393416308,-7.230830386299373,-7.798802179634569,-8.429443255026257,-9.067272210689413,-9.629124275783454,-10.143602841894483,-10.631160853007339,-11.09691836165853,-11.548388503457515,-11.998968846201484,-12.445333891352231,-12.890720001990339,-13.338472158969923,-13.783961970099542,-14.246984718450971,-14.72158047984128,-15.208203976525816,-15.7068342569186,-16.25391529151285,-16.804564397633577,-17.368103430411807,-17.95546048344764,-18.566128138415632,-19.28716410362892,-20.02876125946615,-20.775206216037034,-21.54406850124732,-22.360358352744207,-23.25010626775921,-24.136221979627834,-25.06704906482662,-26.001165036966984,-26.94853909413053,-27.930371960584207,-28.934114849271666,-29.948175720390807,-30.970054413365908,-32.03331020517357,-33.08617879327412,-34.121625213976905,-35.151144383664516,-36.1632407625304,-37.14070384164585,-38.08085889739707,-38.98238076841578,-39.82639999696366,-40.61818753410971,-41.33361037838509,-41.90128254958115,-42.317709403294714,-42.56104319345101,-42.618306456139436,-42.493211937868494,-42.1858042887752,-41.66543168257553,-40.93763102883317,-40.03646151785162,-38.94631768931217,-37.47070993540539,-35.63657266568543,-33.50498274168908,-31.11494251605383,-28.572459055101888,-24.909498547951333,-21.627482994584827,-18.704977326972738,-16.128439057532,-13.856320370400987,-11.857992852448236,-10.12801454668533,-8.61368649446674,-7.318068630963103,-6.196080056284341,-5.23252759344508,-4.413099978909723,-3.71246776281932,-3.1244650049317078,-2.6207227732281684,
1,-1.0,1980s,0.0,0.0,0.0,0.0,0.0,-0.03922467766974951,-0.14954259194438468,-0.35453085595753747,-0.6254557602309637,-0.9174104530461147,-1.2467180863153384,-1.580138152056667,-1.9110074549070444,-2.2297202738805577,-2.5411769344671344,-2.873520587216381,-3.1956559084971636,-3.5326774944034165,-3.877188500777936,-4.242726956890132,-4.616328736312166,-5.013552611202612,-5.40179038757582,-5.784934067054771,-6.177846310299756,-6.554170242870175,-6.904375695148562,-7.236305762369016,-7.556088884122388,-7.870809032782234,-8.182507192161115,-8.497350861547218,-8.811077568838764,-9.12800047183486,-9.45422168742951,-9.788446885140031,-10.12936415576854,-10.485448484135876,-10.851092465739018,-11.238531988044311,-11.66356901538771,-12.108830370441671,-12.566844438962644,-13.03775990218132,-13.531026125092607,-14.109137175545444,-14.695084484817656,-15.297253750227725,-15.92028116755722,-16.598752248119695,-17.350494317289723,-18.101555208848634,-18.894903298611762,-19.701286597059493,-20.52852184824599,-21.395716720145717,-22.282024294052203,-23.191410662830915,-24.135437187778493,-25.128154099790343,-26.11022246899649,-27.11488036521925,-28.126705369007727,-29.133964320458567,-30.136962746420636,-31.13673443484315,-32.121520753800844,-33.084302038101725,-34.00657511987762,-34.88660594150736,-35.64311953972447,-36.279769468319984,-36.75997360654816,-37.097597128048825,-37.248234870523646,-37.2126151661432,-36.99172010114995,-36.560224633916114,-35.93982324900574,-35.12410197133059,-33.91631493258843,-32.35658107587963,-30.452505136426236,-28.300773346090917,-25.942814955377774,-22.48610181015694,-19.425894056200168,-16.705457902862996,-14.323334715389132,-12.24013808501191,-10.42886392257832,-8.86034618313773,-7.51176386107184,-6.3487851059470986,-5.353980585499886,-4.511128891762619,-3.7934338250146142,-3.185575838908434,-2.677402578468137,-2.24700141444746,
1,-1.0,1990s,0.0,0.0,0.0,0.0,0.0,-0.026735613236741715,-0.10132179930857982,-0.22304245793172403,-0.3829846868706578,-0.55328519854761,-0.7428601497995017,-0.9576125921298392,-1.1946541379642475,-1.4257870620272708,-1.6753693794483082,-1.923523550816997,-2.1744098027358363,-2.433363818912347,-2.6914005662901572,-2.9538680235016344,-3.2322097366440565,-3.5331293433973845,-3.827470001772048,-4.105621008067499,-4.377573268204744,-4.663026972329445,-4.9248646856550025,-5.174901413646077,-5.421496073927754,-5.660174145974308,-5.903583117949655,-6.147259489200072,-6.394379474274001,-6.651409002606508,-6.915061052261914,-7.183715817917124,-7.464023229899342,-7.753754990617338,-8.056286812118964,-8.377372209783712,-8.738389078744282,-9.11341986469428,-9.502409490862803,-9.911915736576814,-10.34190467899888,-10.845539826022646,-11.372726015666231,-11.901395801294093,-12.450195195051569,-13.050868392528493,-13.712991807258836,-14.389719261410596,-15.101872358052042,-15.840593157213469,-16.607572087122765,-17.40249923391186,-18.22006587677995,-19.06663951376908,-19.953567943775486,-20.884087881053258,-21.827332613701493,-22.802530645215203,-23.780601993199713,-24.768108848824372,-25.772426223592888,-26.786283366487236,-27.789326834290893,-28.79646558670835,-29.79203685086945,-30.76359126158879,-31.64101969890859,-32.4096308944681,-33.04501562968711,-33.53105646214603,-33.846490411886414,-33.99273319102172,-33.9323986393742,-33.685550572570456,-33.23695399874873,-32.58041016687428,-31.520331544348714,-30.069002872844493,-28.28934474809741,-26.25347922401388,-24.02703327649108,-20.682121656564117,-17.75638914221517,-15.191191514138897,-12.955038652003227,-11.011229899329692,-9.339324813133661,-7.8950375906169,-6.655983523400591,-5.602153062171776,-4.709087005888444,-3.957038332937444,-3.321799057734199,-2.785689952024099,-2.332558113377305,-1.9529663857470596,
1,-1.0,Age0-4,0.0,0.0,0.0,0.0,0.0,-0.07186413677956291,-0.2861006822791387,-0.6853564996829696,-1.2164913605268155,-1.8405866580773738,-2.3504633506060513,-2.77759229424483,-3.143413473471455,-3.461529213349188,-3.7512970669863503,-4.011983642687597,-4.2543862580244305,-4.482355344626833,-4.697504605057423,-4.905925116603396,-5.105335460298234,-5.305369314120652,-5.501893082472923,-5.699997462291771,-5.898829346545174,-6.102813542472391,-6.309267946689669,-6.520117968893468,-6.7395747171807505,-6.965069899407804,-7.20468045703187,-7.455334874623159,-7.712026799800617,-7.981644933318824,-8.265118118737158,-8.55768017650106,-8.865850134993488,-9.18550290538494,-9.520852434059762,-9.878893007611644,-10.273196525203737,-10.693713147821489,-11.136620814191517,-11.600533648648009,-12.09827000694623,-12.71503292099842,-13.343726093700486,-13.973625329629778,-14.617635393628046,-15.360450665502535,-16.230909792261603,-17.088344894886916,-18.004889272877943,-18.92630206960841,-19.86020745723471,-20.832090783113884,-21.81697983288394,-22.825121501281398,-23.86616175303558,-24.97252998991622,-26.057649607581364,-27.165070082415586,-28.263022124624264,-29.369341483979714,-30.471064379474793,-31.57662584860568,-32.659308906039776,-33.73115812989854,-34.77217345743079,-35.767451645090695,-36.63615370660135,-37.37361064766563,-37.94630943189467,-38.343260933624144,-38.54844131660447,-38.547479898059386,-38.315828820046086,-37.859188224666305,-37.18980886622681,-36.29681779696991,-34.96018418380358,-33.216411492209915,-31.116979296627594,-28.74985081329994,-26.19879867797058,-22.474157176509582,-19.2229483239362,-16.37341307407112,-13.9115498825826,-11.773425353323525,-9.940192597046268,-8.357934417218956,-7.008851773081979,-5.869439799100773,-4.907249323843926,-4.104174419987766,-3.427233455568701,-2.855420490176318,-2.377190083498554,-1.975389114874071,
1,-1.0,Age5-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2986700567239184,-0.7976702869982688,-1.4708227430861558,-2.206947231535074,-3.0185718051127832,-3.663717024498888,-4.198562786649427,-4.6640146364679085,-5.07383693806709,-5.437516608295812,-5.7648942906169784,-6.0769887911040685,-6.365494881029025,-6.637717695949972,-6.9026147209526965,-7.15709151537505,-7.413413104861921,-7.662796977851685,-7.914372884874526,-8.164101591918257,-8.415725437439662,-8.679468236102315,-8.9496696655423,-9.228003437340528,-9.516459806495332,-9.8176314055558,-10.128514376333388,-10.458667538776533,-10.796094681435964,-11.152765684672376,-11.542507759122675,-11.938901246889122,-12.342417017593162,-12.764845883484227,-13.196444068495605,-13.653922435973664,-14.134651555967297,-14.629612582045018,-15.146346711909816,-15.682802114955795,-16.242258272321425,-16.823898486665538,-17.42291616836771,-18.05425072407476,-18.717572651846794,-19.408571374740152,-20.13186623736296,-20.867151021803586,-21.637275562727073,-22.42582599849771,-23.23466643899244,-24.064810322935408,-24.89937814408806,-25.726693760737316,-26.55367777068117,-27.37800998846589,-28.192311643723862,-28.985854204205147,-29.776893865058785,-30.53046569980471,-31.185778024498262,-31.74787195795999,-32.192205635775345,-32.493966738611185,-32.65328502408921,-32.666741561699396,-32.505204947083364,-32.17297840079175,-31.67753857741167,-30.999010685384103,-29.9748043438296,-28.62065412997521,-26.963845569266052,-25.078718137841665,-23.020568637270813,-19.954049886897113,-17.246372232231334,-14.85358004451447,-12.749300265886568,-10.90824150279214,-9.310130722493762,-7.9311474836543585,-6.728542304820794,-5.697506664394955,-4.814443925920683,-4.059799825481407,-3.420071832537692,-2.881694160284345,-2.429288558901969,-2.0446393605811197,
1,-1.0,Age10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29564168665062446,-0.7315408818239244,-1.392587345881043,-2.140914626899852,-3.0310828652367117,-3.770148856612041,-4.403057358281251,-4.9566691766611575,-5.452794192777861,-5.896332844642905,-6.313634962350808,-6.7011582760591715,-7.071356346343667,-7.423164112389477,-7.764434348985189,-8.099473431457529,-8.431064480663537,-8.759402329983553,-9.08681347751161,-9.424300583099088,-9.757345718464745,-10.097471073545801,-10.449379514941288,-10.818083642847121,-11.20889068868205,-11.649241550741577,-12.095494576995335,-12.554939670018129,-13.027063712479917,-13.52140728775635,-14.062359395976209,-14.62633409381681,-15.201243645681837,-15.802339436894778,-16.427233428001642,-17.070973495923116,-17.73810232454712,-18.438434724575007,-19.156662522544153,-19.908597520468284,-20.697964102265534,-21.50997866805358,-22.355606284715645,-23.234745870012606,-24.15565528697434,-25.092504579294292,-26.04938485751593,-27.017615183213756,-27.98499716410822,-28.952642841079648,-29.924460190979197,-30.874631439347958,-31.808112000551528,-32.70351886080229,-33.57158325232887,-34.32912864795897,-34.96624090379792,-35.46154324233657,-35.829397005245376,-36.00494058962788,-36.030345477728304,-35.87889040786192,-35.53765402324733,-35.013188702783744,-34.301216692765045,-33.201238029868165,-31.767797892299928,-30.01670532620161,-28.02451812024071,-25.8249915693576,-22.528938187169715,-19.55790765542574,-16.931441605703178,-14.595821656980045,-12.553537939001787,-10.750656253685888,-9.19106023852637,-7.835772510164813,-6.665269662108862,-5.653310542580286,-4.782406938198985,-4.043617801171097,-3.4127836315946904,-2.8801158630633563,-2.426805919924444,
1,-1.0,Age15-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3734023468935159,-1.0769976749912928,-1.8999858535341856,-2.80049916076143,-3.8710493373961485,-4.989609810977493,-5.894698249172468,-6.674063385183745,-7.371000672335916,-7.999668757897279,-8.579015779447474,-9.11778981209361,-9.63455673905116,-10.137953186754949,-10.616930442928604,-11.085320745895144,-11.55948545376879,-12.034642723198736,-12.509211784481002,-12.982851320237991,-13.51254340024727,-14.042519211318641,-14.569415790371217,-15.114864603919486,-15.666131808597731,-16.348236527862475,-17.048010163912295,-17.75672350191341,-18.497741766416723,-19.243063197482726,-20.01732349064621,-20.801911852760895,-21.61377976973288,-22.45285701582814,-23.314719354876082,-24.200828083519806,-25.11290268064381,-26.051971730363654,-27.011323641974446,-28.002340404672793,-29.00167612183,-30.001665458846393,-31.024896945441967,-32.0298479220107,-33.040774097757016,-34.00805393922409,-34.96321961304527,-35.884335032729695,-36.74409233639844,-37.55239321093568,-38.24429005602278,-38.79666277343507,-39.18319560414909,-39.42246711951952,-39.480425758534615,-39.35673213241884,-39.04891908658592,-38.55981073350215,-37.8856218797277,-37.039603342743625,-35.84683665429974,-34.27494925682116,-32.40598114672355,-30.266946706232414,-27.928427740908703,-24.47050178339018,-21.38344165071356,-18.5803768925681,-16.09472375545571,-13.887733741680224,-11.947118147000845,-10.252622472056101,-8.778509128992473,-7.489017284116722,-6.371201743927157,-5.412032576843759,-4.584136847838216,-3.875925950558638,-3.2765855478218913,-2.769340164556165,
